,time,lat,lon,dev_acc_d
22663,2022-03-22 14:41:59,29.6654169,60.7336819,1138.29401
22664,2022-03-22 14:42:04,29.6647896,60.7351142,1138.44904
22665,2022-03-22 14:42:09,29.6641677,60.7365337,1138.60269
22666,2022-03-22 14:42:14,29.6635616,60.7379535,1138.75558
22667,2022-03-22 14:42:19,29.6629517,60.7393455,1138.90626
22668,2022-03-22 14:42:24,29.6623311,60.7407338,1139.05716
22669,2022-03-22 14:42:29,29.6617112,60.742131,1139.20879
22670,2022-03-22 14:42:34,29.661065,60.7434946,1139.35891
22671,2022-03-22 14:42:39,29.6603634,60.7448078,1139.50791
22672,2022-03-22 14:42:44,29.659601,60.7460709,1139.65656
22673,2022-03-22 14:42:49,29.6587645,60.7472704,1139.80521
22674,2022-03-22 14:42:54,29.657964,60.7484268,1139.94812
22675,2022-03-22 14:42:59,29.6572826,60.7494495,1140.07268
22676,2022-03-22 14:43:04,29.6566141,60.7504716,1140.19633
22677,2022-03-22 14:43:09,29.6560138,60.7515698,1140.32174
22678,2022-03-22 14:43:14,29.6554668,60.7526782,1140.44495
22679,2022-03-22 14:43:19,29.6549928,60.7537767,1140.5635
22680,2022-03-22 14:43:24,29.6545694,60.7549033,1140.68215
22681,2022-03-22 14:43:29,29.6541285,60.7560085,1140.79969
22682,2022-03-22 14:43:34,29.6536465,60.757128,1140.92046
22683,2022-03-22 14:43:39,29.6530825,60.7582222,1141.04343
22684,2022-03-22 14:43:44,29.6523637,60.7593104,1141.17556
22685,2022-03-22 14:44:49,29.6370999,60.7700015,1143.16318
22686,2022-03-22 14:44:54,29.6357033,60.7705282,1143.32666
22687,2022-03-22 14:44:59,29.6343422,60.7712195,1143.49215
22688,2022-03-22 14:45:04,29.633061,60.7720592,1143.65616
22689,2022-03-22 14:45:09,29.6320077,60.7729246,1143.80013
22690,2022-03-22 14:45:14,29.6311518,60.7737034,1143.92151
22691,2022-03-22 14:45:19,29.6304175,60.7745097,1144.03441
22692,2022-03-22 14:45:24,29.629723,60.7753145,1144.14406
22693,2022-03-22 14:45:29,29.6288756,60.7761274,1144.26679
22694,2022-03-22 14:45:34,29.6278645,60.7768592,1144.39966
22695,2022-03-22 14:45:39,29.6266697,60.7775676,1144.54917
22696,2022-03-22 14:45:44,29.6254189,60.7783145,1144.70592
22697,2022-03-22 14:45:49,29.6241294,60.7790786,1144.86726
22698,2022-03-22 14:45:54,29.622816,60.7798623,1145.03183
22699,2022-03-22 14:45:59,29.621456,60.780659,1145.20159
22700,2022-03-22 14:46:04,29.6200381,60.7814392,1145.37642
22701,2022-03-22 14:46:09,29.6186313,60.7822068,1145.54961
22702,2022-03-22 14:46:14,29.6173265,60.7829409,1145.71117
22703,2022-03-22 14:46:19,29.6160566,60.7836391,1145.86773
22704,2022-03-22 14:46:24,29.6147021,60.7843584,1146.03367
22705,2022-03-22 14:46:34,29.6120167,60.78583,1146.36453
22706,2022-03-22 14:46:39,29.6106631,60.7865912,1146.53212
22707,2022-03-22 14:46:29,29.6133565,60.7850651,1146.67637
22708,2022-03-22 14:46:44,29.6095216,60.7872992,1146.67637
22709,2022-03-22 14:46:49,29.6083875,60.7881161,1146.82521
22710,2022-03-22 14:46:54,29.6074134,60.7891224,1146.97085
22711,2022-03-22 14:46:59,29.6065387,60.790227,1147.11534
22712,2022-03-22 14:47:04,29.6057013,60.7913979,1147.26196
22713,2022-03-22 14:47:09,29.604847,60.7925634,1147.40939
22714,2022-03-22 14:47:14,29.604044,60.7936856,1147.54994
22715,2022-03-22 14:47:39,29.5994411,60.7987417,1148.25792
22716,2022-03-22 14:47:24,29.6024489,60.7959348,1148.29371
22717,2022-03-22 14:47:29,29.6015859,60.7970034,1148.3295
22718,2022-03-22 14:47:34,29.6005488,60.7979374,1148.3652900000002
22719,2022-03-22 14:47:19,29.6032366,60.7948238,1148.40108
22720,2022-03-22 14:47:44,29.598261,60.7993327,1148.40108
22721,2022-03-22 14:47:49,29.5970761,60.7999499,1148.54577
22722,2022-03-22 14:47:54,29.5958791,60.8006113,1148.69348
22723,2022-03-22 14:47:59,29.5946889,60.8012821,1148.84091
22724,2022-03-22 14:48:04,29.5935451,60.8020335,1148.98743
22725,2022-03-22 14:48:09,29.5924114,60.8026163,1149.12556
22726,2022-03-22 14:48:34,29.5867582,60.8051835,1149.80161
22727,2022-03-22 14:48:14,29.5913198,60.8032297,1149.84753
22728,2022-03-22 14:48:24,29.5890922,60.8042297,1149.89345
22729,2022-03-22 14:48:19,29.5902106,60.8037503,1149.93937
22730,2022-03-22 14:48:39,29.5855979,60.8056817,1149.93937
22731,2022-03-22 14:48:44,29.5844363,60.806146,1150.07616
22732,2022-03-22 14:48:29,29.587946,60.8046946,1150.2074
22733,2022-03-22 14:48:49,29.5833756,60.8067403,1150.2074
22734,2022-03-22 14:48:59,29.5814109,60.8079664,1150.45605
22735,2022-03-22 14:48:54,29.5823875,60.8073535,1150.58268
22736,2022-03-22 14:49:04,29.5803978,60.8085636,1150.58268
22737,2022-03-22 14:49:09,29.5794065,60.8091652,1150.70735
22738,2022-03-22 14:49:14,29.5785041,60.8097194,1150.82115
22739,2022-03-22 14:49:19,29.5776558,60.8102569,1150.92888
22740,2022-03-22 14:49:24,29.5767658,60.8107894,1151.04048
22741,2022-03-22 14:49:29,29.5758567,60.8113419,1151.15485
22742,2022-03-22 14:49:34,29.5749416,60.8119013,1151.27013
22743,2022-03-22 14:49:39,29.5740136,60.8124566,1151.38649
22744,2022-03-22 14:49:44,29.5730191,60.8130414,1151.51074
22745,2022-03-22 14:49:49,29.5720054,60.8136493,1151.63791
22746,2022-03-22 14:49:54,29.5710479,60.8142347,1151.75853
22747,2022-03-22 14:49:59,29.5700908,60.8148212,1151.87916
22748,2022-03-22 14:50:04,29.5691433,60.8154142,1151.99916
22749,2022-03-22 14:50:09,29.5682034,60.8159834,1152.11732
22750,2022-03-22 14:50:14,29.5673577,60.8164989,1152.22379
22751,2022-03-22 14:50:19,29.5665696,60.8169814,1152.3231
22752,2022-03-22 14:50:24,29.5658521,60.8174307,1152.41398
22753,2022-03-22 14:50:29,29.5652067,60.8178076,1152.4945
22754,2022-03-22 14:50:34,29.564793,60.8181153,1152.5493
22755,2022-03-22 14:50:39,29.5644763,60.8182544,1152.58701
22756,2022-03-22 14:50:44,29.564106,60.8184207,1152.63123
22757,2022-03-22 14:50:49,29.5637026,60.8184998,1152.67675
22758,2022-03-22 14:50:54,29.5633433,60.8184908,1152.71672
22759,2022-03-22 14:50:59,29.5630618,60.8186307,1152.75083
22760,2022-03-22 14:51:04,29.5628464,60.8188522,1152.78298
22761,2022-03-22 14:51:09,29.5626998,60.8191006,1152.81202
22762,2022-03-22 14:51:14,29.5625905,60.8192776,1152.83302
22763,2022-03-22 14:51:19,29.5624952,60.8194051,1152.84929
22764,2022-03-22 14:51:24,29.5624349,60.8194034,1152.856
22765,2022-03-22 14:51:29,29.5622865,60.8194591,1152.87336
22766,2022-03-22 14:51:34,29.5621604,60.8195091,1152.8882
22767,2022-03-22 14:51:39,29.5619327,60.8195802,1152.91444
22768,2022-03-22 14:51:44,29.5616895,60.8195959,1152.94154
22769,2022-03-22 14:51:49,29.561545,60.819601,1152.95762
22770,2022-03-22 14:51:54,29.561509,60.8196153,1152.96185
22771,2022-03-22 14:51:59,29.5614709,60.8196451,1152.96698
22772,2022-03-22 14:52:04,29.5614733,60.8196482,1152.96738
22773,2022-03-22 14:52:09,29.5614733,60.8196483,1152.96739
22774,2022-03-22 14:52:14,29.5614642,60.819675,1152.97016
22775,2022-03-22 14:52:19,29.5613481,60.8197344,1152.9843
22776,2022-03-22 14:52:24,29.5613399,60.8197463,1152.98577
22777,2022-03-22 14:52:29,29.5613416,60.8197467,1152.98596
22778,2022-03-22 14:52:34,29.5613417,60.8197467,1152.98597
22779,2022-03-22 14:52:39,29.5613417,60.8197467,1152.98597
22780,2022-03-22 14:52:44,29.5613417,60.8197467,1152.98597
22781,2022-03-22 14:52:49,29.5613417,60.8197467,1152.98597
22782,2022-03-22 14:52:54,29.5613417,60.8197467,1152.98597
22783,2022-03-22 14:52:59,29.5613417,60.8197467,1152.98597
22784,2022-03-22 14:53:04,29.5613417,60.8197467,1152.98597
22785,2022-03-22 14:53:09,29.5613417,60.8197467,1152.98597
22786,2022-03-22 14:53:14,29.5613417,60.8197467,1152.98597
22787,2022-03-22 14:53:19,29.5613417,60.8197467,1152.98597
22788,2022-03-22 14:53:24,29.5613417,60.8197467,1152.98597
22789,2022-03-22 14:53:29,29.5613417,60.8197467,1152.98597
22790,2022-03-22 14:53:34,29.5613417,60.8197467,1152.98597
22791,2022-03-22 14:53:39,29.5611693,60.8197305,1153.00521
22792,2022-03-22 14:53:44,29.5611114,60.8197792,1153.01319
22793,2022-03-22 14:53:49,29.5611343,60.8197955,1153.01619
22794,2022-03-22 14:53:54,29.5611366,60.819795,1153.01645
22795,2022-03-22 14:53:59,29.5611367,60.819795,1153.01646
22796,2022-03-22 14:54:04,29.5611367,60.819795,1153.01646
22797,2022-03-22 14:54:09,29.5611367,60.819795,1153.01646
22798,2022-03-22 14:54:14,29.5611367,60.819795,1153.01646
22799,2022-03-22 14:54:19,29.5611367,60.819795,1153.01646
22800,2022-03-22 14:54:24,29.5611367,60.819795,1153.01646
22801,2022-03-22 14:54:29,29.5611367,60.819795,1153.01646
22802,2022-03-22 14:54:34,29.5611367,60.819795,1153.01646
22803,2022-03-22 14:54:39,29.5611367,60.819795,1153.01646
22804,2022-03-22 14:54:44,29.5611367,60.819795,1153.01646
22805,2022-03-22 14:54:49,29.5611367,60.819795,1153.01646
22806,2022-03-22 14:54:54,29.5611367,60.819795,1153.01646
22807,2022-03-22 14:54:59,29.5611367,60.819795,1153.01646
22808,2022-03-22 14:55:04,29.5611367,60.819795,1153.01646
22809,2022-03-22 14:55:09,29.5611367,60.819795,1153.01646
22810,2022-03-22 14:55:14,29.5611367,60.819795,1153.01646
22811,2022-03-22 14:55:19,29.5611367,60.819795,1153.01646
22812,2022-03-22 14:55:24,29.5611367,60.819795,1153.01646
22813,2022-03-22 14:55:29,29.5611367,60.819795,1153.01646
22814,2022-03-22 14:55:34,29.5611367,60.819795,1153.01646
22815,2022-03-22 14:55:39,29.5611367,60.819795,1153.01646
22816,2022-03-22 14:55:44,29.5611367,60.819795,1153.01646
22817,2022-03-22 14:55:49,29.5611367,60.819795,1153.01646
22818,2022-03-22 14:55:54,29.5611367,60.819795,1153.01646
22819,2022-03-22 14:55:59,29.5611367,60.819795,1153.01646
22820,2022-03-22 14:56:04,29.5611367,60.819795,1153.01646
22821,2022-03-22 14:56:09,29.5611367,60.819795,1153.01646
22822,2022-03-22 14:56:14,29.5611367,60.819795,1153.01646
22823,2022-03-22 14:56:19,29.5611367,60.819795,1153.01646
22824,2022-03-22 14:56:24,29.5611367,60.819795,1153.01646
22825,2022-03-22 14:56:29,29.5611367,60.819795,1153.01646
22826,2022-03-22 14:56:34,29.5611367,60.819795,1153.01646
22827,2022-03-22 14:56:39,29.5611367,60.819795,1153.01646
22828,2022-03-22 14:56:44,29.5611367,60.819795,1153.01646
22829,2022-03-22 14:56:49,29.5611367,60.819795,1153.01646
22830,2022-03-22 14:56:54,29.5611367,60.819795,1153.01646
22831,2022-03-22 14:56:59,29.5611367,60.819795,1153.01646
22832,2022-03-22 14:57:04,29.5611367,60.819795,1153.01646
22833,2022-03-22 14:57:09,29.5611367,60.819795,1153.01646
22834,2022-03-22 14:57:14,29.5611367,60.819795,1153.01646
22835,2022-03-22 14:57:19,29.5611367,60.819795,1153.01646
22836,2022-03-22 14:57:24,29.5611367,60.819795,1153.01646
22837,2022-03-22 14:57:29,29.5611367,60.819795,1153.01646
22838,2022-03-22 14:57:34,29.5611367,60.819795,1153.01646
22839,2022-03-22 14:57:39,29.5611367,60.819795,1153.01646
22840,2022-03-22 14:57:44,29.5611367,60.819795,1153.01646
22841,2022-03-22 14:57:49,29.5611367,60.819795,1153.01646
22842,2022-03-22 14:57:54,29.5611367,60.819795,1153.01646
22843,2022-03-22 14:57:59,29.5611367,60.819795,1153.01646
22844,2022-03-22 14:58:04,29.5611367,60.819795,1153.01646
22845,2022-03-22 14:58:09,29.5611367,60.819795,1153.01646
22846,2022-03-22 14:58:14,29.5611367,60.819795,1153.01646
22847,2022-03-22 14:58:19,29.5611367,60.819795,1153.01646
22848,2022-03-22 14:58:24,29.5611367,60.819795,1153.01646
22849,2022-03-22 14:58:29,29.5611367,60.819795,1153.01646
22850,2022-03-22 14:58:34,29.5611367,60.819795,1153.01646
22851,2022-03-22 14:58:39,29.5611367,60.819795,1153.01646
22852,2022-03-22 14:58:44,29.5611367,60.819795,1153.01646
